,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,0.32199,0.34343,0.31585,0.34002,5454917.9,0.34002,sell
2021-01-01 04:00:00,1609473600000,0.34006,0.34152,0.32879,0.32952,2073038.3,0.32952,sell
2021-01-01 08:00:00,1609488000000,0.32974,0.33777,0.3244,0.33635,2657785.7,0.33635,sell
2021-01-01 12:00:00,1609502400000,0.33623,0.34286,0.32571,0.32742,3885721.2,0.32742,sell
2021-01-01 16:00:00,1609516800000,0.32714,0.33144,0.31,0.31075,4394917.9,0.31075,sell
2021-01-01 20:00:00,1609531200000,0.31016,0.32607,0.30889,0.31629,4218665.0,0.31629,sell
2021-01-02 00:00:00,1609545600000,0.31692,0.32116,0.3047,0.31693,2628743.8,0.31693,sell
2021-01-02 04:00:00,1609560000000,0.31635,0.31716,0.30893,0.3134,2350057.8,0.3134,sell
2021-01-02 08:00:00,1609574400000,0.31351,0.31625,0.30637,0.31092,2319373.0,0.31092,sell
2021-01-02 12:00:00,1609588800000,0.31039,0.32225,0.30795,0.31582,2652580.4,0.31582,sell
2021-01-02 16:00:00,1609603200000,0.31579,0.31701,0.30555,0.31617,5009889.3,0.31617,sell
2021-01-02 20:00:00,1609617600000,0.31606,0.31621,0.3,0.31214,4158591.2,0.31214,sell
2021-01-03 00:00:00,1609632000000,0.31269,0.322,0.31175,0.31553,2449723.1,0.31553,sell
2021-01-03 04:00:00,1609646400000,0.3159,0.33109,0.31215,0.3194,2982896.4,0.3194,sell
2021-01-03 08:00:00,1609660800000,0.31944,0.32067,0.30525,0.30525,6826558.5,0.30525,sell
2021-01-03 12:00:00,1609675200000,0.30546,0.32,0.30494,0.31662,14458730.7,0.31662,sell
2021-01-03 16:00:00,1609689600000,0.31672,0.335,0.31079,0.31129,7638183.0,0.31129,sell
2021-01-03 20:00:00,1609704000000,0.31204,0.33998,0.31173,0.33484,5799106.2,0.33484,sell
2021-01-04 00:00:00,1609718400000,0.33505,0.359,0.32604,0.34826,5000971.2,0.34826,sell
2021-01-04 04:00:00,1609732800000,0.34867,0.3728,0.32197,0.32846,9733454.2,0.32846,sell
2021-01-04 08:00:00,1609747200000,0.32865,0.33793,0.29731,0.315,10538334.2,0.315,sell
2021-01-04 12:00:00,1609761600000,0.31485,0.33328,0.31148,0.32629,5195796.3,0.32629,sell
2021-01-04 16:00:00,1609776000000,0.32634,0.33719,0.313,0.33596,4531547.9,0.33596,sell
2021-01-04 20:00:00,1609790400000,0.33579,0.34,0.32501,0.33665,3696542.0,0.33665,sell
2021-01-05 00:00:00,1609804800000,0.33627,0.34999,0.31949,0.32176,6440731.2,0.32176,sell
2021-01-05 04:00:00,1609819200000,0.32146,0.32777,0.31422,0.32066,3055475.5,0.32066,sell
2021-01-05 08:00:00,1609833600000,0.32086,0.34353,0.32083,0.34332,2890679.7,0.34332,sell
2021-01-05 12:00:00,1609848000000,0.34332,0.34921,0.32919,0.34821,4158512.8,0.34821,sell
2021-01-05 16:00:00,1609862400000,0.34843,0.35533,0.33628,0.34227,5875098.7,0.34227,sell
2021-01-05 20:00:00,1609876800000,0.34286,0.34648,0.33741,0.34304,3707478.0,0.34304,buy
2021-01-06 00:00:00,1609891200000,0.34313,0.34561,0.33,0.33661,3445892.1,0.33661,buy
2021-01-06 04:00:00,1609905600000,0.33616,0.34766,0.33375,0.33963,4208479.3,0.33963,buy
2021-01-06 08:00:00,1609920000000,0.33972,0.361,0.33525,0.35939,5219322.0,0.35939,buy
2021-01-06 12:00:00,1609934400000,0.35958,0.37629,0.353,0.36862,7797312.0,0.36862,buy
2021-01-06 16:00:00,1609948800000,0.36921,0.38077,0.35906,0.36133,5137017.4,0.36133,buy
2021-01-06 20:00:00,1609963200000,0.36008,0.37683,0.34841,0.37067,6661636.2,0.37067,buy
2021-01-07 00:00:00,1609977600000,0.371,0.41897,0.366,0.40324,10646264.1,0.40324,buy
2021-01-07 04:00:00,1609992000000,0.40328,0.42799,0.39398,0.414,5494115.4,0.414,buy
2021-01-07 08:00:00,1610006400000,0.414,0.445,0.39122,0.39778,14354433.8,0.39778,buy
2021-01-07 12:00:00,1610020800000,0.39801,0.41577,0.39379,0.40952,6682480.1,0.40952,buy
2021-01-07 16:00:00,1610035200000,0.40943,0.41161,0.34795,0.38073,9998879.6,0.38073,buy
2021-01-07 20:00:00,1610049600000,0.38098,0.39003,0.36214,0.36278,6484266.5,0.36278,buy
2021-01-08 00:00:00,1610064000000,0.36409,0.37413,0.32739,0.35241,6858572.5,0.35241,buy
2021-01-08 04:00:00,1610078400000,0.35241,0.37677,0.344,0.37419,4611260.1,0.37419,buy
2021-01-08 08:00:00,1610092800000,0.3742,0.38229,0.3607,0.37006,4503452.7,0.37006,buy
2021-01-08 12:00:00,1610107200000,0.37006,0.431,0.367,0.3943,17851628.8,0.3943,buy
2021-01-08 16:00:00,1610121600000,0.39493,0.421,0.3827,0.38918,10503148.5,0.38918,buy
2021-01-08 20:00:00,1610136000000,0.38959,0.39011,0.35552,0.38618,8048028.6,0.38618,buy
2021-01-09 00:00:00,1610150400000,0.38618,0.38868,0.36614,0.38621,6591214.3,0.38621,buy
2021-01-09 04:00:00,1610164800000,0.38659,0.40042,0.37482,0.39785,4388348.2,0.39785,buy
2021-01-09 08:00:00,1610179200000,0.39877,0.4054,0.38889,0.39739,4212246.9,0.39739,buy
2021-01-09 12:00:00,1610193600000,0.39795,0.44,0.39745,0.43297,13854319.2,0.43297,buy
2021-01-09 16:00:00,1610208000000,0.43303,0.455,0.418,0.45157,15553447.5,0.45157,buy
2021-01-09 20:00:00,1610222400000,0.45217,0.47142,0.4377,0.44485,12620001.3,0.44485,buy
2021-01-10 00:00:00,1610236800000,0.44485,0.45166,0.43451,0.43713,6634521.7,0.43713,buy
2021-01-10 04:00:00,1610251200000,0.43723,0.45481,0.4364,0.44982,3702849.7,0.44982,buy
2021-01-10 08:00:00,1610265600000,0.44963,0.45929,0.40248,0.40671,9177046.6,0.40671,buy
2021-01-10 12:00:00,1610280000000,0.40752,0.43897,0.38845,0.41981,9230170.0,0.41981,buy
2021-01-10 16:00:00,1610294400000,0.41926,0.42888,0.382,0.3963,8252851.1,0.3963,buy
2021-01-10 20:00:00,1610308800000,0.39698,0.41992,0.36753,0.41195,6882918.1,0.41195,buy
2021-01-11 00:00:00,1610323200000,0.41187,0.41323,0.34,0.36354,7420456.0,0.36354,sell
2021-01-11 04:00:00,1610337600000,0.36357,0.37284,0.33704,0.36232,6217663.2,0.36232,sell
2021-01-11 08:00:00,1610352000000,0.36238,0.37831,0.35405,0.35589,4451691.0,0.35589,sell
2021-01-11 12:00:00,1610366400000,0.35618,0.36457,0.32157,0.33389,7676151.2,0.33389,sell
2021-01-11 16:00:00,1610380800000,0.3342,0.35,0.3107,0.3392,8633445.2,0.3392,sell
2021-01-11 20:00:00,1610395200000,0.33887,0.36918,0.33037,0.36663,5059315.8,0.36663,sell
2021-01-12 00:00:00,1610409600000,0.36674,0.37813,0.35143,0.37613,4426824.2,0.37613,sell
2021-01-12 04:00:00,1610424000000,0.37625,0.3995,0.3681,0.39251,4100282.4,0.39251,buy
2021-01-12 08:00:00,1610438400000,0.39251,0.39287,0.36292,0.37432,3651273.9,0.37432,sell
2021-01-12 12:00:00,1610452800000,0.3744,0.38263,0.3454,0.363,4600286.6,0.363,sell
2021-01-12 16:00:00,1610467200000,0.36362,0.38805,0.36297,0.37297,3509796.1,0.37297,sell
2021-01-12 20:00:00,1610481600000,0.37297,0.37464,0.35433,0.36105,3156397.6,0.36105,sell
2021-01-13 00:00:00,1610496000000,0.36085,0.372,0.34823,0.36503,3007497.0,0.36503,sell
2021-01-13 04:00:00,1610510400000,0.36435,0.37555,0.35419,0.37305,2378625.5,0.37305,sell
2021-01-13 08:00:00,1610524800000,0.37375,0.39551,0.36713,0.38374,4332844.0,0.38374,sell
2021-01-13 12:00:00,1610539200000,0.38374,0.41674,0.37958,0.4096,5843606.7,0.4096,buy
2021-01-13 16:00:00,1610553600000,0.41022,0.42142,0.40585,0.41336,4529989.0,0.41336,buy
2021-01-13 20:00:00,1610568000000,0.41336,0.43906,0.40483,0.43787,5165199.2,0.43787,buy
2021-01-14 00:00:00,1610582400000,0.43836,0.45074,0.41067,0.42109,8761247.5,0.42109,buy
2021-01-14 04:00:00,1610596800000,0.42079,0.44816,0.41559,0.44569,3327597.3,0.44569,buy
2021-01-14 08:00:00,1610611200000,0.44627,0.46077,0.43619,0.45751,4769927.2,0.45751,buy
2021-01-14 12:00:00,1610625600000,0.45801,0.4968,0.44708,0.49186,10680261.2,0.49186,buy
2021-01-14 16:00:00,1610640000000,0.492,0.495,0.46179,0.47339,5854519.4,0.47339,buy
