,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,28923.63,29470.0,28690.17,29278.4,11560.456553,29278.4
2021-01-01 04:00:00,1609473600000,29278.41,29395.0,28806.54,29092.83,7308.910274,29092.83
2021-01-01 08:00:00,1609488000000,29092.84,29402.57,28872.24,29313.49,8283.705319,29313.49
2021-01-01 12:00:00,1609502400000,29313.49,29600.0,29030.14,29188.67,11794.949515,29188.67
2021-01-01 16:00:00,1609516800000,29188.67,29360.0,28624.57,29029.04,9850.965345,29029.04
2021-01-01 20:00:00,1609531200000,29029.04,29338.89,28880.37,29331.69,5383.938005,29331.69
2021-01-02 00:00:00,1609545600000,29331.7,29469.0,28946.53,29351.95,7393.028526,29351.95
2021-01-02 04:00:00,1609560000000,29351.95,29820.5,29220.0,29750.0,9865.642845,29750.0
2021-01-02 08:00:00,1609574400000,29751.47,29899.0,29473.91,29755.0,9226.804608,29755.0
2021-01-02 12:00:00,1609588800000,29754.99,31800.0,29741.39,31691.29,34028.973399,31691.29
2021-01-02 16:00:00,1609603200000,31691.09,33300.0,31616.42,33027.2,34849.617798,33027.2
2021-01-02 20:00:00,1609617600000,33027.2,33061.37,30300.0,32178.33,34629.806186,32178.33
2021-01-03 00:00:00,1609632000000,32176.45,32884.09,31962.99,32573.87,10890.302907,32573.87
2021-01-03 04:00:00,1609646400000,32576.11,34778.11,32450.0,34452.34,26286.126296,34452.34
2021-01-03 08:00:00,1609660800000,34451.78,34670.41,33403.0,34413.53,22651.532867,34413.53
2021-01-03 12:00:00,1609675200000,34413.53,34600.0,32727.0,33506.62,23240.077177,33506.62
2021-01-03 16:00:00,1609689600000,33505.15,33822.69,32267.0,32772.21,22427.187643,32772.21
2021-01-03 20:00:00,1609704000000,32775.1,33861.92,32600.0,33000.05,15462.33986,33000.05
2021-01-04 00:00:00,1609718400000,33000.05,33588.0,32400.25,33505.16,14536.79062,33505.16
2021-01-04 04:00:00,1609732800000,33505.15,33600.0,31505.0,32068.84,21398.871909,32068.84
2021-01-04 08:00:00,1609747200000,32068.84,32567.88,28130.0,30743.06,46591.471025,30743.06
2021-01-04 12:00:00,1609761600000,30742.99,32185.67,30454.25,31745.72,26592.539453,31745.72
2021-01-04 16:00:00,1609776000000,31745.71,31920.0,30626.36,31665.51,19886.660603,31665.51
2021-01-04 20:00:00,1609790400000,31665.52,32031.01,30856.08,31988.71,11893.55208,31988.71
2021-01-05 00:00:00,1609804800000,31989.75,32853.38,31130.86,31200.0,20813.0786,31200.0
2021-01-05 04:00:00,1609819200000,31190.04,31538.45,29900.0,30817.77,23019.057178,30817.77
2021-01-05 08:00:00,1609833600000,30817.78,31821.94,30817.78,31776.66,13255.6011,31776.66
2021-01-05 12:00:00,1609848000000,31776.66,32375.07,31111.78,32099.98,16243.276369,32099.98
2021-01-05 16:00:00,1609862400000,32099.97,34187.09,31763.23,33697.75,23832.165758,33697.75
2021-01-05 20:00:00,1609876800000,33693.8,34360.0,33318.0,33949.53,18886.818033,33949.53
2021-01-06 00:00:00,1609891200000,33949.53,34170.0,33288.0,34117.59,15779.353879,34117.59
2021-01-06 04:00:00,1609905600000,34116.76,35766.58,34109.83,34676.4,26152.96499,34676.4
2021-01-06 08:00:00,1609920000000,34666.8,35200.0,33357.9,34918.53,21063.050567,34918.53
2021-01-06 12:00:00,1609934400000,34918.54,35088.0,34052.42,34566.19,18644.311939,34566.19
2021-01-06 16:00:00,1609948800000,34566.18,35695.0,34372.92,34816.72,18876.49598,34816.72
2021-01-06 20:00:00,1609963200000,34818.95,36939.21,34280.0,36769.36,26623.023955,36769.36
2021-01-07 00:00:00,1609977600000,36769.36,37699.0,36422.71,37454.48,19662.246626,37454.48
2021-01-07 04:00:00,1609992000000,37452.62,37700.8,36710.0,36859.85,16315.182158,36859.85
2021-01-07 08:00:00,1610006400000,36863.04,37913.72,36300.0,37822.09,17213.968918,37822.09
2021-01-07 12:00:00,1610020800000,37825.64,38970.42,37518.0,38970.42,22645.701477,38970.42
2021-01-07 16:00:00,1610035200000,38970.41,40365.0,36500.0,39062.0,39368.560182,39062.0
2021-01-07 20:00:00,1610049600000,39061.99,39969.0,38352.88,39432.28,17620.041076,39432.28
2021-01-08 00:00:00,1610064000000,39432.48,39699.87,36500.0,38347.1,23563.558207,38347.1
2021-01-08 04:00:00,1610078400000,38347.11,39143.8,37563.92,38930.55,17678.05242,38930.55
2021-01-08 08:00:00,1610092800000,38929.56,41500.45,38222.0,41286.67,26858.313228,41286.67
2021-01-08 12:00:00,1610107200000,41286.67,41950.0,39777.0,40829.08,29703.863861,40829.08
2021-01-08 16:00:00,1610121600000,40829.07,41600.0,39800.0,40365.09,20523.08366,40365.09
2021-01-08 20:00:00,1610136000000,40365.09,40937.77,38652.0,40582.81,21463.086123,40582.81
2021-01-09 00:00:00,1610150400000,40586.96,40976.13,39500.0,40211.59,13875.82436,40211.59
2021-01-09 04:00:00,1610164800000,40209.91,40490.0,38720.0,39638.61,12464.021144,39638.61
2021-01-09 08:00:00,1610179200000,39639.21,41237.44,39290.86,40565.77,14548.756541,40565.77
2021-01-09 12:00:00,1610193600000,40565.77,41380.0,40200.0,40525.15,13783.07301,40525.15
2021-01-09 16:00:00,1610208000000,40525.16,40880.0,39869.0,40665.91,10121.055377,40665.91
2021-01-09 20:00:00,1610222400000,40665.91,40781.69,39928.91,40088.22,10993.249243,40088.22
2021-01-10 00:00:00,1610236800000,40088.22,41350.0,40087.15,40316.64,11827.445704,40316.64
2021-01-10 04:00:00,1610251200000,40320.67,41073.26,40050.0,40978.57,9169.85114,40978.57
2021-01-10 08:00:00,1610265600000,40978.57,41060.0,38888.0,39181.76,18823.288303,39181.76
2021-01-10 12:00:00,1610280000000,39175.09,40126.0,38450.0,39671.81,17148.669684,39671.81
2021-01-10 16:00:00,1610294400000,39671.82,39757.55,37111.0,37456.77,26106.908154,37456.77
2021-01-10 20:00:00,1610308800000,37472.4,39000.0,35111.11,38150.02,35133.381518,38150.02
